,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
dtype,int64,object,float64,int64,object,object,object,object,object,object,object,object,object,object,object,object,int64,int64,int64,int64,object,object,object,object,object,float64,object,object,object,object,object,object,object,float64,object,float64,float64,float64,object,object,object,object,int64,int64,int64,int64,float64,float64,int64,int64,int64,int64,object,int64,object,int64,object,object,float64,object,float64,float64,object,object,object,int64,int64,int64,int64,int64,int64,object,object,object,int64,int64,int64,object,object
count,2919.0,2915,2433.0,2919.0,2919,198,2919,2919,2917,2919,2919,2919,2919,2919,2919,2919,2919.0,2919.0,2919.0,2919.0,2919,2919,2918,2918,2895,2896.0,2919,2919,2919,2838,2837,2837,2840,2918.0,2839,2918.0,2918.0,2918.0,2919,2919,2919,2918,2919.0,2919.0,2919.0,2919.0,2917.0,2917.0,2919.0,2919.0,2919.0,2919.0,2918,2919.0,2917,2919.0,1499,2762,2760.0,2760,2918.0,2918.0,2760,2760,2919,2919.0,2919.0,2919.0,2919.0,2919.0,2919.0,10,571,105,2919.0,2919.0,2919.0,2918,2919
unique,,5,,,2,2,4,4,2,5,3,25,9,8,5,8,,,,,6,8,15,16,4,,4,5,6,4,4,4,6,,6,,,,6,5,2,5,,,,,,,,,,,4,,7,,5,6,,3,,,5,5,3,,,,,,,3,4,4,,,,9,6
top,,RL,,,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,,,,,Gable,CompShg,VinylSd,VinylSd,None,,TA,TA,PConc,TA,TA,No,Unf,,Unf,,,,GasA,Ex,Y,SBrkr,,,,,,,,,,,TA,,Typ,,Gd,Attchd,,Unf,,,TA,TA,Y,,,,,,,Ex,MnPrv,Shed,,,,WD,Normal
freq,,2265,,,2907,120,1859,2622,2916,2133,2778,443,2511,2889,2425,1471,,,,,2310,2876,1025,1014,1742,,1798,2538,1308,1283,2606,1904,851,,2493,,,,2874,1493,2723,2671,,,,,,,,,,,1492,,2717,,744,1723,,1230,,,2604,2654,2641,,,,,,,4,329,95,,,,2525,2402
mean,57.1377183967112,,69.30579531442663,10168.11408016444,,,,,,,,,,,,,6.089071599862967,5.564576909900651,1971.3127783487496,1984.2644741349777,,,,,,102.20131215469613,,,,,,,,441.4232350925291,,49.58224811514736,560.7721041809458,1051.7775873886224,,,,,1159.5817060637205,336.4837273038712,4.694415895854744,1500.7598492634463,0.429893726431265,0.06136441549537196,1.568002740664611,0.3802672147995889,2.860226104830421,1.0445357999314835,,6.451524494689962,,0.5971223021582733,,,1978.1134057971014,,1.7666209732693625,472.8745716244003,,,,93.70983213429257,47.486810551558754,23.098321342925658,2.602261048304214,16.062350119904078,2.2517985611510793,,,,50.82596779719082,6.213086673518328,2007.7927372387803,,
std,42.51762782915031,,23.344904706927394,7886.996359105536,,,,,,,,,,,,,1.4099472066146963,1.1131307466377236,30.291441534121084,20.89434423384073,,,,,,179.33425303776386,,,,,,,,455.6108258702918,,169.2056110999799,439.54365942343975,440.7662581159383,,,,,392.36207866658924,428.7014555181113,46.39682451650753,506.0510451183403,0.5247356336982464,0.2456869164493273,0.5529692595874467,0.5028716002357516,0.8226931006716115,0.21446200122348583,,1.5693791436437485,,0.646129358956227,,,25.57428472390508,,0.7616243225993495,215.3948149935217,,,,126.52658931047681,67.57549339168976,64.24424559263247,25.188169331162985,56.18436511069398,35.66394596548708,,,,567.4022105501805,2.7147617741578953,1.3149644889049008,,
min,20.0,,21.0,1300.0,,,,,,,,,,,,,1.0,1.0,1872.0,1950.0,,,,,,0.0,,,,,,,,0.0,,0.0,0.0,0.0,,,,,334.0,0.0,0.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,0.0,,,1895.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,2006.0,,
25%,20.0,,59.0,7478.0,,,,,,,,,,,,,5.0,5.0,1953.5,1965.0,,,,,,0.0,,,,,,,,0.0,,0.0,220.0,793.0,,,,,876.0,0.0,0.0,1126.0,0.0,0.0,1.0,0.0,2.0,1.0,,5.0,,0.0,,,1960.0,,1.0,320.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,4.0,2007.0,,
50%,50.0,,68.0,9453.0,,,,,,,,,,,,,6.0,5.0,1973.0,1993.0,,,,,,0.0,,,,,,,,368.5,,0.0,467.0,989.5,,,,,1082.0,0.0,0.0,1444.0,0.0,0.0,2.0,0.0,3.0,1.0,,6.0,,1.0,,,1979.0,,2.0,480.0,,,,0.0,26.0,0.0,0.0,0.0,0.0,,,,0.0,6.0,2008.0,,
75%,70.0,,80.0,11570.0,,,,,,,,,,,,,7.0,6.0,2001.0,2004.0,,,,,,164.0,,,,,,,,733.0,,0.0,805.5,1302.0,,,,,1387.5,704.0,0.0,1743.5,1.0,0.0,2.0,1.0,3.0,1.0,,7.0,,1.0,,,2002.0,,2.0,576.0,,,,168.0,70.0,0.0,0.0,0.0,0.0,,,,0.0,8.0,2009.0,,
max,190.0,,313.0,215245.0,,,,,,,,,,,,,10.0,9.0,2010.0,2010.0,,,,,,1600.0,,,,,,,,5644.0,,1526.0,2336.0,6110.0,,,,,5095.0,2065.0,1064.0,5642.0,3.0,2.0,4.0,2.0,8.0,3.0,,15.0,,4.0,,,2207.0,,5.0,1488.0,,,,1424.0,742.0,1012.0,508.0,576.0,800.0,,,,17000.0,12.0,2010.0,,
null,0.0,4,486.0,0.0,0,2721,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,1,24,23.0,0,0,0,81,82,82,79,1.0,80,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1,0.0,2,0.0,1420,157,159.0,159,1.0,1.0,159,159,0,0.0,0.0,0.0,0.0,0.0,0.0,2909,2348,2814,0.0,0.0,0.0,1,0
